iter	MultiClass
298	0.71875438
299	0.7186223444
300	0.7185903934
301	0.7185668424
302	0.7185011697
303	0.7184587349
304	0.7183884534
305	0.7183601073
306	0.7183145553
307	0.7182620733
308	0.7181933669
309	0.7180342839
310	0.7179876852
311	0.7179474861
312	0.7178025357
313	0.7177643515
314	0.7177284348
315	0.7176784445
316	0.7176276461
317	0.7175633016
318	0.7175223559
319	0.7175049244
320	0.7174540254
321	0.7174271182
322	0.717388424
323	0.7173519741
324	0.7173047455
325	0.7172236291
326	0.7171912341
327	0.7170671828
328	0.7170029514
329	0.7169709441
330	0.7169319367
331	0.7169055974
332	0.7168768802
333	0.7168068457
334	0.716742985
335	0.716698591
336	0.7166070918
337	0.7165490727
338	0.7165152659
339	0.7164844146
340	0.7164655102
341	0.7164123202
342	0.7163872328
343	0.716351599
344	0.7163341042
345	0.7162795506
346	0.7162587892
347	0.7161212018
348	0.7160668139
349	0.7160231286
350	0.7159747832
351	0.7159452891
352	0.7159164762
353	0.7158902137
354	0.7158510371
355	0.7157849721
356	0.715758618
357	0.7157133832
358	0.7156935837
359	0.7156461472
360	0.7156007919
361	0.7155757085
362	0.7155435311
363	0.7155257923
364	0.7154895653
365	0.7154208886
366	0.7153716709
367	0.7153378757
368	0.7152553968
369	0.7152238406
370	0.7151466337
371	0.7150784347
372	0.7150344782
373	0.7150226444
374	0.7149579097
375	0.7149054664
376	0.7148610501
377	0.714825843
378	0.7147800104
379	0.7147447872
380	0.7146821699
381	0.7146603986
382	0.7146286547
383	0.7145642419
384	0.7145278466
385	0.7144514072
386	0.7143945868
387	0.7142290273
388	0.7141930715
389	0.7141597347
390	0.7141388927
391	0.7140516677
392	0.713960366
393	0.7139004756
394	0.7138364212
395	0.7138014194
396	0.7137723964
397	0.7137481541
398	0.7137225588
399	0.7136835018
400	0.7136393944
401	0.7136197618
402	0.7135274017
403	0.7135064209
404	0.7134796761
405	0.7134240014
406	0.7133422154
407	0.7132149449
408	0.7131976502
409	0.7131559472
410	0.7130586539
411	0.7130445349
412	0.7130045118
413	0.7129617513
414	0.7128950636
415	0.7128585764
416	0.7127858529
417	0.7127501072
418	0.7127246591
419	0.7126674911
420	0.7126260601
421	0.712598912
422	0.712552453
423	0.7125382667
424	0.7125163826
425	0.7124948061
426	0.7124477413
427	0.7123716748
428	0.7123510565
429	0.7122614194
430	0.712203139
431	0.7121415344
432	0.7121178968
433	0.7120569455
434	0.7120434303
435	0.7120292416
436	0.7120076482
437	0.7119794207
438	0.7119499256
439	0.7119153435
440	0.7118840383
441	0.7118343215
442	0.7117032818
443	0.7116217057
444	0.7115084423
445	0.711465631
446	0.7113966327
447	0.7113631375
448	0.7113180871
449	0.7112634271
450	0.7112150454
451	0.7111636613
452	0.711121915
453	0.7111057527
454	0.7110772585
455	0.7110279036
456	0.7109779371
457	0.7109537883
458	0.710898811
459	0.7108446117
460	0.7108126251
461	0.7107907805
462	0.7107623484
463	0.7107350716
464	0.7106997195
465	0.7106392739
466	0.7106102746
467	0.710448477
468	0.7103921474
469	0.7103485592
470	0.710330027
471	0.7102614863
472	0.7101902525
473	0.7101642523
474	0.7101060161
475	0.7100151081
476	0.7099878511
477	0.7099332534
478	0.7099145257
479	0.7098876953
480	0.7098603128
481	0.7098356761
482	0.7098110152
483	0.7097582132
484	0.7097280589
485	0.7096250455
486	0.7095679018
487	0.7095411327
488	0.7095075938
489	0.7094853294
490	0.7094096158
491	0.7093732756
492	0.7093488182
493	0.7093209943
494	0.7092902626
495	0.7092241889
496	0.7091824554
497	0.7091549824
498	0.7091229889
499	0.7090290276
500	0.7090007451
501	0.7089577811
502	0.7089364972
503	0.7089024036
504	0.7088484618
505	0.7088068772
506	0.7087807712
507	0.7087618657
508	0.7087483502
509	0.7086222373
510	0.7085996046
511	0.7085688807
512	0.7085507163
513	0.7085379927
514	0.7085235031
515	0.7085037344
516	0.7084820893
517	0.7084615502
518	0.7084473763
519	0.7084038328
520	0.7083748358
521	0.7083118872
522	0.7082681661
523	0.7082571072
524	0.708241168
525	0.7082166397
526	0.7081468183
527	0.7081047884
528	0.7080861696
529	0.708065033
530	0.7080289166
531	0.7080087329
532	0.7079943624
533	0.7079759082
534	0.707943157
535	0.707874523
536	0.7078577508
537	0.7078457494
538	0.7078184143
539	0.7077758279
540	0.7077341967
541	0.7077141395
542	0.7076792233
543	0.7076489722
544	0.7076273652
545	0.7075879423
546	0.7074901738
547	0.7074553997
548	0.7073804307
549	0.7073466536
550	0.7073283192
551	0.7072992328
552	0.7072367414
553	0.7071726848
554	0.7071343767
555	0.7071030928
556	0.7070675809
557	0.7070522406
558	0.706997746
559	0.7069877438
560	0.7069751472
561	0.7069399883
562	0.706916241
563	0.7068843313
564	0.7068753494
565	0.7068172696
566	0.7067351436
567	0.706719038
568	0.7066797533
569	0.7066333752
570	0.7065976523
571	0.7065336397
572	0.7064426498
573	0.7064177519
574	0.7062619732
575	0.70624297
576	0.7062315655
577	0.7062064379
578	0.7061945308
579	0.7061693888
580	0.7061306008
581	0.7060782476
582	0.7060640758
583	0.7060461641
584	0.7060237978
585	0.7059880591
586	0.7059199413
587	0.7058900024
588	0.7058730828
589	0.7057969318
590	0.7057773027
591	0.7057143607
592	0.7056943959
593	0.7056643688
594	0.7056477765
595	0.7056310208
596	0.7055854694
597	0.7055653759
598	0.7055367968
599	0.7055232381
600	0.7055069636
601	0.7054700258
602	0.7054398092
603	0.7054257945
604	0.7053924429
605	0.7052694186
606	0.7052219977
607	0.7052107373
608	0.7051295445
609	0.7050775446
610	0.7050424803
611	0.7050081891
612	0.7049835381
613	0.7049634366
614	0.7049439053
615	0.7049204508
616	0.7048939883
617	0.7048650042
618	0.704832748
619	0.7047979509
620	0.704783099
621	0.70472804
622	0.7046961859
623	0.7046828131
624	0.7046609376
625	0.7046312463
626	0.7045957195
627	0.7045506496
628	0.7044070838
629	0.7043875803
630	0.7043699368
631	0.7043518291
632	0.704315973
633	0.7043033668
634	0.7042674619
635	0.704226059
636	0.7042101378
637	0.7041722412
638	0.7041321879
639	0.7041200796
640	0.7041024649
641	0.7040490213
642	0.7040329826
643	0.7039913976
644	0.7039728623
645	0.7039534102
646	0.7039187262
647	0.7039011303
648	0.7038837182
649	0.7038396528
650	0.7038147144
651	0.703793929
652	0.7037627318
653	0.7037460056
654	0.7037248186
655	0.7035990784
656	0.7035853421
657	0.7035746305
658	0.7035466784
659	0.7034823659
660	0.703467583
661	0.7034471759
662	0.7034131469
663	0.7033799334
664	0.7033288934
665	0.7032873059
666	0.7032640344
667	0.7032317764
668	0.7032073099
669	0.7031625053
670	0.7031332812
671	0.7031038637
672	0.7030321664
673	0.7030057579
674	0.7029833852
675	0.7029679393
676	0.7029484705
677	0.7028203193
678	0.7027914951
679	0.7027299739
680	0.7027062992
681	0.7026772117
682	0.7026380446
683	0.7026129123
684	0.7025733128
685	0.7025435259
686	0.702518234
687	0.7024845575
688	0.7024696471
689	0.7024469478
690	0.7024169965
691	0.7023946648
692	0.7023600966
693	0.7023475284
694	0.7023285983
695	0.7023080634
696	0.7022916485
697	0.7022762098
698	0.7022078937
699	0.7021744907
700	0.7021497897
701	0.702132839
702	0.7021198861
703	0.7020614593
704	0.702043318
705	0.7020104673
706	0.7019827924
707	0.7019663761
708	0.7019444526
709	0.7019240226
710	0.7018492329
711	0.7018059528
712	0.7017807151
713	0.7017258664
714	0.7016962786
715	0.7016090262
716	0.7015952627
717	0.7015864588
718	0.7014950242
719	0.7014442366
720	0.7014217942
721	0.7013966127
722	0.7013456486
723	0.7013352636
724	0.7013082195
725	0.7012813467
726	0.7012567346
727	0.7012381801
728	0.7012211214
729	0.7012085026
730	0.7011558758
731	0.7011209679
732	0.701089376
733	0.7010603683
734	0.7010356466
735	0.701016353
736	0.7009805139
737	0.7009521851
738	0.7009259774
739	0.7008940532
740	0.700850713
741	0.7008318616
742	0.7008141128
743	0.7007533964
744	0.7007225643
745	0.7006901941
746	0.700665951
747	0.7005929207
748	0.7005652143
749	0.7005538136
750	0.7005272552
751	0.7004987034
752	0.700481108
753	0.7004665084
754	0.7004477571
755	0.7004290498
756	0.7003997594
757	0.7003686759
758	0.7003266492
759	0.700309011
760	0.700240929
761	0.7002261365
762	0.7002114751
763	0.7001550261
764	0.7001315303
765	0.7000955283
766	0.70004073
767	0.699991963
768	0.6999774726
769	0.6999579631
770	0.6999411674
771	0.6999195436
772	0.6998992261
773	0.6998708773
774	0.6998337524
775	0.6998230466
776	0.699763575
777	0.6997521769
778	0.6997401035
779	0.6996718568
780	0.6996282299
781	0.699596159
782	0.6995692527
783	0.6995539801
784	0.6995245494
785	0.6994755625
786	0.6994484753
787	0.6994299983
788	0.699407905
789	0.6993651258
790	0.6993124202
791	0.6992902938
792	0.6991885769
793	0.6991692694
794	0.6990969595
795	0.6990294801
796	0.6990131791
797	0.6989799098
798	0.6989599852
799	0.6989377383
800	0.6988937413
801	0.698862346
802	0.6988475096
803	0.6988269501
804	0.698810341
805	0.6987923729
806	0.6987704443
807	0.6987278907
808	0.6986891967
809	0.698636726
810	0.698623681
811	0.6986130706
812	0.6985880579
813	0.6985346574
814	0.6984669717
815	0.6984493666
816	0.6984090915
817	0.698381199
818	0.6983615841
819	0.698338043
820	0.6983200243
821	0.6983099599
822	0.6982776736
823	0.6982483225
824	0.6982203003
825	0.6981900834
826	0.6981702574
827	0.6981424464
828	0.6981117011
829	0.6981019954
830	0.6980746161
831	0.6980574478
832	0.6980437451
833	0.6980299884
834	0.6980025795
835	0.6979702001
836	0.6979493794
837	0.6979377903
838	0.6979217888
839	0.6978920164
840	0.69788156
841	0.6978683638
842	0.6978227418
843	0.6978127341
844	0.6977846582
845	0.697710431
846	0.6976903068
847	0.6976792482
848	0.6976658485
849	0.6976437714
850	0.6976090107
851	0.6975837446
852	0.6975305208
853	0.6975100161
854	0.6974793434
855	0.6974485756
856	0.6974318411
857	0.6974166773
858	0.6974019298
859	0.6973937632
860	0.6973411304
861	0.6973203858
862	0.6972833778
863	0.6972736319
864	0.6972445751
865	0.6972335261
866	0.6971321693
867	0.6971204617
868	0.697044665
869	0.697010447
870	0.6969339695
871	0.6969160068
872	0.6968504869
873	0.6968337048
874	0.6968189568
875	0.6967947038
876	0.6967752444
877	0.6967607543
878	0.6967416793
879	0.6967173256
880	0.6966908046
881	0.6966718419
882	0.6966627577
883	0.6966299088
884	0.6966071362
885	0.6965963223
886	0.6964606964
887	0.6964408088
888	0.6964276127
889	0.6964028448
890	0.6963762008
891	0.6963597619
892	0.6962956811
893	0.6962547071
894	0.6962452989
895	0.6962336536
896	0.6962232854
897	0.6962065479
898	0.6961866355
899	0.6961636588
900	0.6961405758
901	0.6961184531
902	0.6961017187
903	0.6960895677
904	0.6960719444
905	0.6960399769
906	0.6960192702
907	0.696003237
908	0.6959880216
909	0.6959629551
910	0.6959333413
911	0.6959138773
912	0.6958791863
913	0.6958497042
914	0.6958305694
915	0.6958145935
916	0.695800976
917	0.6957782602
918	0.6957381826
919	0.6957236791
920	0.6957127227
921	0.6956894707
922	0.6956748652
923	0.6956620153
924	0.6956491589
925	0.6955717835
926	0.6955549334
927	0.6955439183
928	0.6955331227
929	0.6954955781
930	0.6954700421
931	0.6954549962
932	0.6954294859
933	0.6954119423
934	0.695348929
935	0.6953350667
936	0.6952931066
937	0.6952837885
938	0.6952733518
939	0.6952247253
940	0.6952150481
941	0.6951742246
942	0.6950822362
943	0.6950653586
944	0.6950407038
945	0.6950340043
946	0.6949923155
947	0.69496033
948	0.6949395564
949	0.6949305868
950	0.6948789294
951	0.6948287718
952	0.6948073063
953	0.6947748151
954	0.6947564195
955	0.6947457698
956	0.694721658
957	0.6947077223
958	0.6946950771
959	0.6946613175
960	0.6946490237
961	0.6946285184
962	0.6946187737
963	0.6945501454
964	0.6944841326
965	0.6944684769
966	0.6944515163
967	0.6944334486
968	0.6944109772
969	0.6943823735
970	0.6943685855
971	0.6943517785
972	0.6943267809
973	0.6943029098
974	0.6942563523
975	0.6941848122
976	0.6941720028
977	0.6941505962
978	0.6941376389
979	0.6941177018
980	0.6940822622
981	0.6940740212
982	0.6940621677
983	0.6940365586
984	0.6940260816
985	0.6940082702
986	0.6939976854
987	0.6938659164
988	0.6938436183
989	0.6938326818
990	0.6938205642
991	0.6938095286
992	0.6937931842
993	0.6937625952
994	0.6937434502
995	0.6937245697
996	0.6936675775
997	0.6936356348
998	0.6935830081
999	0.6935693624
