iter	Passed	Remaining
556	19095	15187
557	19117	15143
558	19147	15105
559	19176	15067
560	19198	15023
561	19220	14979
562	19246	14939
563	19272	14898
564	19306	14864
565	19336	14826
566	19375	14796
567	19400	14755
568	19426	14715
569	19454	14675
570	19479	14635
571	19509	14597
572	19539	14561
573	19573	14526
574	19604	14489
575	19626	14447
576	19652	14407
577	19680	14368
578	19706	14328
579	19733	14289
580	19763	14252
581	19791	14214
582	19814	14172
583	19839	14132
584	19864	14092
585	19908	14064
586	19931	14023
587	19957	13983
588	19993	13951
589	20039	13925
590	20071	13890
591	20107	13858
592	20143	13825
593	20176	13790
594	20203	13751
595	20230	13713
596	20259	13676
597	20292	13641
598	20330	13609
599	20359	13572
600	20387	13535
601	20421	13501
602	20440	13457
603	20461	13415
604	20480	13371
605	20504	13331
606	20531	13293
607	20554	13252
608	20582	13214
609	20609	13176
610	20633	13136
611	20658	13097
612	20682	13057
613	20702	13014
614	20727	12975
615	20756	12939
616	20779	12899
617	20806	12860
618	20840	12827
619	20864	12788
620	20884	12746
621	20907	12705
622	20936	12669
623	20960	12630
624	20987	12592
625	21015	12555
626	21042	12517
627	21071	12482
628	21096	12443
629	21114	12400
630	21143	12364
631	21171	12327
632	21201	12292
633	21236	12259
634	21260	12220
635	21288	12183
636	21314	12146
637	21334	12105
638	21364	12070
639	21393	12034
640	21418	11995
641	21443	11957
642	21466	11918
643	21484	11876
644	21507	11837
645	21534	11800
646	21578	11773
647	21600	11733
648	21624	11695
649	21656	11661
650	21681	11623
651	21702	11583
652	21729	11546
653	21753	11508
654	21776	11469
655	21805	11434
656	21833	11398
657	21854	11358
658	21880	11322
659	21907	11285
660	21929	11246
661	21954	11209
662	21980	11172
663	22004	11134
664	22033	11099
665	22060	11063
666	22087	11027
667	22110	10988
668	22137	10952
669	22162	10916
670	22192	10881
671	22218	10844
672	22246	10809
673	22266	10769
674	22289	10732
675	22313	10694
676	22335	10656
677	22367	10622
678	22396	10587
679	22424	10552
680	22448	10515
681	22475	10479
682	22502	10443
683	22520	10404
684	22549	10369
685	22579	10335
686	22607	10299
687	22632	10263
688	22661	10228
689	22685	10192
690	22706	10153
691	22729	10116
692	22754	10080
693	22777	10043
694	22818	10013
695	22849	9980
696	22877	9945
697	22897	9906
698	22918	9868
699	22939	9831
700	22961	9793
701	22987	9758
702	23013	9722
703	23050	9691
704	23076	9656
705	23105	9621
706	23130	9585
707	23148	9546
708	23179	9513
709	23210	9480
710	23240	9446
711	23266	9411
712	23291	9375
713	23317	9340
714	23337	9302
715	23360	9266
716	23391	9232
717	23417	9197
718	23446	9163
719	23472	9128
720	23502	9094
721	23529	9059
722	23562	9027
723	23585	8990
724	23614	8957
725	23643	8923
726	23678	8891
727	23711	8859
728	23739	8825
729	23772	8792
730	23808	8761
731	23840	8728
732	23870	8694
733	23914	8666
734	23942	8632
735	23976	8600
736	24007	8567
737	24036	8533
738	24061	8498
739	24097	8466
740	24135	8436
741	24169	8404
742	24200	8370
743	24233	8338
744	24255	8302
745	24283	8268
746	24314	8235
747	24345	8201
748	24383	8171
749	24416	8138
750	24440	8103
751	24468	8069
752	24494	8034
753	24530	8003
754	24557	7968
755	24590	7936
756	24621	7903
757	24647	7868
758	24671	7833
759	24700	7800
760	24735	7768
761	24764	7734
762	24803	7704
763	24836	7672
764	24869	7639
765	24916	7611
766	24953	7580
767	24980	7546
768	25005	7511
769	25041	7479
770	25077	7448
771	25104	7414
772	25132	7380
773	25157	7345
774	25181	7310
775	25210	7277
776	25234	7242
777	25261	7208
778	25289	7174
779	25322	7142
780	25348	7107
781	25379	7075
782	25410	7042
783	25445	7010
784	25480	6978
785	25508	6944
786	25549	6914
787	25583	6882
788	25616	6850
789	25648	6818
790	25679	6785
791	25715	6753
792	25744	6720
793	25775	6687
794	25814	6656
795	25858	6626
796	25886	6593
797	25923	6562
798	25953	6529
799	26004	6501
800	26066	6475
801	26091	6441
802	26112	6406
803	26137	6371
804	26162	6337
805	26194	6304
806	26229	6272
807	26262	6240
808	26293	6207
809	26323	6174
810	26348	6140
811	26388	6109
812	26423	6077
813	26457	6045
814	26495	6014
815	26548	5986
816	26597	5957
817	26628	5924
818	26666	5893
819	26719	5865
820	26760	5834
821	26792	5801
822	26823	5768
823	26857	5736
824	26885	5703
825	26920	5670
826	26953	5638
827	26984	5605
828	27020	5573
829	27048	5540
830	27086	5508
831	27121	5476
832	27160	5445
833	27191	5412
834	27229	5380
835	27261	5347
836	27294	5315
837	27325	5282
838	27350	5248
839	27381	5215
840	27422	5184
841	27455	5151
842	27492	5120
843	27521	5086
844	27557	5054
845	27594	5023
846	27628	4990
847	27659	4957
848	27695	4925
849	27728	4893
850	27768	4861
851	27808	4830
852	27842	4798
853	27867	4764
854	27896	4730
855	27923	4697
856	27950	4663
857	27981	4630
858	28019	4599
859	28049	4566
860	28079	4533
861	28109	4500
862	28136	4466
863	28163	4433
864	28193	4400
865	28222	4366
866	28244	4332
867	28271	4299
868	28300	4266
869	28327	4232
870	28363	4200
871	28392	4167
872	28428	4135
873	28459	4102
874	28486	4069
875	28509	4035
876	28535	4002
877	28560	3968
878	28590	3935
879	28664	3908
880	28693	3875
881	28725	3843
882	28759	3810
883	28789	3777
884	28821	3745
885	28854	3712
886	28908	3682
887	28946	3650
888	28976	3617
889	29005	3584
890	29031	3551
891	29066	3519
892	29103	3487
893	29129	3453
894	29149	3419
895	29180	3386
896	29215	3354
897	29256	3323
898	29296	3291
899	29339	3259
900	29374	3227
901	29425	3196
902	29461	3164
903	29491	3131
904	29519	3098
905	29552	3066
906	29594	3034
907	29658	3005
908	29693	2972
909	29716	2939
910	29766	2908
911	29798	2875
912	29831	2842
913	29866	2810
914	29900	2777
915	29931	2744
916	29958	2711
917	29990	2678
918	30021	2646
919	30041	2612
920	30070	2579
921	30100	2546
922	30130	2513
923	30155	2480
924	30178	2446
925	30207	2414
926	30238	2381
927	30264	2348
928	30284	2314
929	30313	2281
930	30341	2248
931	30364	2215
932	30391	2182
933	30431	2150
934	30466	2118
935	30501	2085
936	30540	2053
937	30570	2020
938	30596	1987
939	30624	1954
940	30651	1921
941	30669	1888
942	30698	1855
943	30724	1822
944	30753	1789
945	30776	1756
946	30815	1724
947	30846	1691
948	30879	1659
949	30927	1627
950	30963	1595
951	30999	1562
952	31027	1530
953	31054	1497
954	31076	1464
955	31104	1431
956	31130	1398
957	31162	1366
958	31185	1333
959	31219	1300
960	31247	1268
961	31274	1235
962	31302	1202
963	31340	1170
964	31382	1138
965	31414	1105
966	31447	1073
967	31473	1040
968	31500	1007
969	31526	975
970	31555	942
971	31586	909
972	31617	877
973	31648	844
974	31675	812
975	31706	779
976	31734	747
977	31763	714
978	31797	682
979	31823	649
980	31850	616
981	31883	584
982	31913	551
983	31938	519
984	31960	486
985	31989	454
986	32019	421
987	32044	389
988	32074	356
989	32098	324
990	32124	291
991	32146	259
992	32171	226
993	32199	194
994	32225	161
995	32252	129
996	32286	97
997	32313	64
998	32352	32
999	32388	0
